HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN
2017-3,20170609,(주)휴온스엔,건강기능식품전문제조업,강원특별자치도 춘천시,허니부쉬추출발효분말,자외선에의한 피부손상으로 피부건강 유지에 도움을 줄 수 있음,허니부쉬추출발효분말로서 400~800 mg/일,"1) 어린이, 임산부, 수유부는 섭취에 주의
2) 유당불내증이 있는 사람은 섭취에 주의"
2017-2,20170428,에스케이바이오랜드 주식회사,건강기능식품전문제조업,경기도 안산시 단원구,히알루론산,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음(생리활성기능 2등급),히알루론산으로서 240 mg/일,-
2015-12,20150409,(주)비티씨,건강기능식품벤처제조업,경기도 안산시 상록구,감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210~300 mg/일,-
2015-13,20150409,(주)비티씨,건강기능식품벤처제조업,경기도 안산시 상록구,감마리놀렌산함유유지,면역과민반응에 의한 피부 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로 160~300 mg/일,"1) 영.유아, 어린이는 섭취 전 의사와 상담하여야 함"
2015-15,20150416,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구,히알루론산,피부 보습에 도움을 줄 수 있음(생리활성기능 2등급),히알루론산으로서 120 mg/일,"1) 임산부, 수유부는 섭취에 주의
2) 알레르기 체질 및 특이체질, 질병치료 중인 사람은 섭취에 주의"
2013-35,20131128,(주)엔지켐생명과학,건강기능식품전문제조업,충청북도 제천시,"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl-rac-g",면역조절에 도움을 줄 수 있음(생리활성기능 2등급),"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl -rac-glycerol)로서 1 g/일","1) 장기간(6개월 이상) 섭취 시 주의(삭제) 2) 어린이, 임산부, 수유부 및 가임여성은 섭취를 삼가(일부 삭제: 및 가임여성은) 3) 위장장애가 발생할 수 있으므로 주의"
2012-36,20121231,(주)한국야쿠르트 중앙연구소,수입식품등 수입ㆍ판매업,경기도 용인시 기흥구,핑거루트추출분말,1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(생리활성기능 2등급) 2) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급),핑거루트추출분말로서 600mg/일,-
2018-2,20180213,(주)대덕약업,건강기능식품일반판매업,경기도 수원시 영통구,빌베리추출물,눈의 피로도 개선에 도움,빌베리추출물로서 120~240mg,
2019-10,20190516,아사히고도(주)서울지점,건강기능식품일반판매업,서울특별시 성동구,빌베리추출물,눈의 피로도 개선에 도움,빌베리추출물로서 160~240mg,
2019-7,20190517,(주)뉴트리,수입식품등 수입ㆍ판매업,경기도 성남시 중원구,스페인감초추출물,위 점막 내 헬리코박터(Helicobacter pylori) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있습니다.,150mg,
2015-25,20151104,(주)백중인터내셔널,수입식품등 수입ㆍ판매업,서울특별시 서초구,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급),EPA와 DHA의 합으로서 0.6~1 g/일,-
2015-4,20150105,(주)동일팜텍,수입식품등 수입ㆍ판매업,서울특별시 강남구,감마리놀렌산함유유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로 160~300 mg/일,"영.유아, 어린이는 섭취 전 의사와 상담하여야 함"
2015-5,20150105,(주)동일팜텍,수입식품등 수입ㆍ판매업,서울특별시 강남구,감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210~300 mg/일,-
2015-8,20150317,(주)동일팜텍,수입식품등 수입ㆍ판매업,서울특별시 강남구,EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),EPA와 DHA의 합으로서 0.9~2 g/일,-
2014-2,20140129,(주)세광에스티코퍼레이션,수입식품등 수입ㆍ판매업,서울특별시 금천구,강황 추출물(터마신),관절건강에 도움을 줄 수 있음(생리활성기능 2등급),강황 추출물로서 1 g/일,"1) 영.유아, 임산부, 수유부는 섭취에 주의
2) 강황 알레르기 체질이거나 특정질환(담낭질환 등)이 있는 분은 섭취에 주의
3) 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산역류 등이 있을 수 있음"
2014-10,20140423,주영엔에스(주),수입식품등 수입ㆍ판매업,서울특별시 서초구,오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),DHA와 EPA의 ㅎ바으로서 0.9~2 g/일,-
2019-26,20191105,코스맥스엔비티(주),건강기능식품전문제조업,경기도 이천시,리스펙타(RespectaⓇ) [프로바이오틱스 등복합물],,,
2007-23,20071214,풀무원건강생활(주),수입식품등 수입ㆍ판매업,충청북도 증평군,PMO참밀알부민,,,
2011-39,20111026,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구,크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능 II),크랜베리추출물로서 500mg/일,-
2011-16,20110511,뉴스킨코리아(주),수입식품등 수입ㆍ판매업,서울특별시 강남구,동충하초 유래 P. hepiali 균사체(Cs-4) 추출물,지구력 증진에 도움을 줄 수 있음,동충하초 발효 추출물로서 2.5 g/일,"1) 어린이, 임산부, 수유부는 섭취에 주의
2) 섭취 시 가벼운 위 불쾌감 유발 가능
3) 혈당강하제, 항응고제, 항우울제와 병용 시 섭취에 주의"
2017-5,20171010,(주)두한바이오,건강기능식품벤처제조업,서울특별시 서초구,호로파종자 등 추출복합물,남성의 갱년기 건강에 도움을 줄 수 있음,호로파종자 등 추출복합물로서 400 mg/일,1) 땅콩 알레르기가 있는 사람은 섭취에 주의
2019-8,20190517,풀무원건강생활(주),건강기능식품전문제조업,충청북도 증평군,상황버섯등 추출복합물,혈관 건강 개선을 통해 혈행개선에 도움을 줄 수 있습니다.,,
2019-12,20190705,주영엔에스(주),수입식품등 수입ㆍ판매업,서울특별시 송파구,피쉬 콜라겐펩타이드,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음,"신청원료로서 3,270mg/일 (콜라겐펩타이드로서 3,000mg)",
2019-13,20190705,국립농업과학원본원동,집단급식소,전북특별자치도 완주군,쑥부쟁이추출분말,-,,
2019-14,20190705,주식회사 녹십자웰빙,수입식품등 수입ㆍ판매업,서울특별시 성동구,그린세라-F (인동덩굴꽃봉오리추출물),,,
2019-25,20191113,광동헬스바이오(주),건강기능식품전문제조업,충청북도 청주시 청원구,로즈마리자몽추출복합물,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음,100~250 mg/day,"의약품(혈압강하제, 부정맥치료제, 고지혈증치료제, 항응고제 등)을 복용하시는 분은 섭취 전 의사와 상담"
2019-27,20191113,(주)키토라이프,건강기능식품전문제조업,경기도 평택시,포도과피 효소발효추출물(KL-GEFE),안구건조 개선에 도움을 줄 수 있음,,
